Date,Valeur fonciere,Arrondissement,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot,Nombre de lots,Type local,Surface reelle bati ,Nombre pieces principales,Surface terrain,Total Surface Carrez,Prix par m2
2020,516500.0,1,30.4,0.0,0.0,0.0,0.0,1,Appartement,,1,0,30.4,16990.13157894737
2020,650000.0,3,51.06,0.0,0.0,0.0,0.0,1,Appartement,,3,0,51.06,12730.1214257736
2020,420000.0,8,40.17,0.0,0.0,0.0,0.0,1,Appartement,,2,0,40.17,10455.563853622105
2020,1150000.0,8,98.4,0.0,0.0,0.0,0.0,1,Appartement,,4,0,98.4,11686.991869918698
2020,1210000.0,8,70.77,0.0,0.0,0.0,0.0,1,Appartement,,3,0,70.77,17097.640243040838
2020,2390000.0,3,0.0,0.0,198.43,1.0,1.0,5,Appartement,,4,0,200.43,11924.362620366212
2020,456500.0,8,32.55,0.0,0.0,0.0,0.0,1,Appartement,,1,0,32.55,14024.57757296467
2020,555000.0,8,60.03,0.0,0.0,0.0,0.0,1,Appartement,,3,0,60.03,9245.377311344328
2020,576000.0,1,42.6,0.0,0.0,0.0,0.0,1,Appartement,,1,0,42.6,13521.12676056338
2020,1350000.0,3,0.0,100.02,0.0,0.0,0.0,2,Appartement,,4,0,100.02,13497.300539892021
2020,3314450.0,8,234.05,0.0,0.0,0.0,0.0,2,Appartement,,6,0,234.05,14161.290322580644
2020,350000.0,3,25.01,0.0,0.0,0.0,0.0,1,Appartement,,1,0,25.01,13994.402239104358
2020,3200000.0,1,0.0,152.03,0.0,0.0,0.0,2,Appartement,,3,0,152.03,21048.477274222194
2020,450000.0,1,39.85,0.0,0.0,0.0,0.0,1,Appartement,,2,0,39.85,11292.346298619825
2020,704000.0,8,0.0,0.0,50.78,0.0,0.0,8,Appartement,,3,0,50.78,13863.725876329263
2020,584100.0,8,85.1,0.0,0.0,0.0,0.0,3,Appartement,,3,0,85.1,6863.689776733256
2020,904800.0,1,90.48,0.0,0.0,0.0,0.0,1,Appartement,,3,0,90.48,10000.0
2020,595500.0,3,38.15,0.0,0.0,0.0,0.0,2,Appartement,,1,0,38.15,15609.43643512451
2020,3080000.0,8,161.6,0.0,0.0,0.0,0.0,3,Appartement,,6,0,161.6,19059.40594059406
2020,448770.0,3,31.17,0.0,0.0,0.0,0.0,2,Appartement,,2,0,31.17,14397.49759384023
2020,654322.0,3,0.0,51.05,0.0,0.0,0.0,2,Appartement,,2,0,51.05,12817.277179236044
2020,1287800.0,3,88.15,0.0,0.0,0.0,0.0,1,Appartement,,3,0,88.15,14609.188882586499
2020,1116350.0,1,72.76,21.6,0.0,0.0,0.0,4,Appartement,,2,0,94.36000000000001,11830.754557015684
2020,600000.0,8,40.02,0.0,0.0,0.0,0.0,1,Appartement,,1,0,40.02,14992.503748125935
2020,1160000.0,3,0.0,0.0,110.14,0.0,0.0,3,Appartement,,4,0,110.14,10532.050118031597
2020,288000.0,8,12.9,0.0,0.0,0.0,0.0,2,Appartement,,1,0,12.9,22325.581395348836
2020,800000.0,8,78.02,0.0,0.0,0.0,0.0,2,Appartement,,4,0,78.02,10253.781081773905
2020,918300.0,3,0.0,72.27,0.0,0.0,0.0,2,Appartement,,5,0,72.27,12706.517227065173
2020,596470.0,3,44.9,0.0,0.0,0.0,0.0,2,Appartement,,2,0,44.9,13284.409799554565
2020,270000.0,1,18.51,0.0,0.0,0.0,0.0,1,Appartement,,1,0,18.51,14586.709886547811
2020,2930000.0,8,191.53,0.0,0.0,0.0,0.0,1,Appartement,,6,0,191.53,15297.864564298021
2020,780000.0,8,61.72,0.0,0.0,0.0,0.0,2,Appartement,,3,0,61.72,12637.718729747246
2020,1192620.0,8,0.0,89.13,0.0,0.0,0.0,2,Appartement,,4,0,89.13,13380.679905755638
2020,308569.1,3,73.7,0.0,0.0,0.0,0.0,1,Appartement,,3,0,73.7,4186.8263229308
2020,7576370.0,8,0.0,361.85,0.0,0.0,0.0,2,Appartement,,10,0,361.85,20937.874810004145
2020,320000.0,3,23.76,0.0,0.0,0.0,0.0,1,Appartement,,1,0,23.76,13468.013468013467
2020,605000.0,1,41.42,0.0,0.0,0.0,0.0,1,Appartement,,1,0,41.42,14606.470304200868
2020,1444650.0,8,93.59,0.0,0.0,0.0,0.0,2,Appartement,,3,0,93.59,15435.944011112299
2020,529616.0,8,40.41,0.0,0.0,0.0,0.0,1,Appartement,,2,0,40.41,13106.062855728782
2020,580000.0,3,0.0,37.86,0.0,0.0,0.0,2,Appartement,,1,0,37.86,15319.59852086635
2020,400000.0,8,45.25,0.0,0.0,0.0,0.0,7,Appartement,,2,0,45.25,8839.779005524862
2020,960000.0,3,67.5,0.0,0.0,0.0,0.0,2,Appartement,,2,0,67.5,14222.222222222223
2020,280000.0,3,0.0,17.45,0.0,0.0,0.0,2,Appartement,,1,0,17.45,16045.845272206305
2020,671000.0,8,0.0,56.22,0.0,0.0,0.0,2,Appartement,,2,0,56.22,11935.254357879758
2020,3600000.0,8,169.26,0.0,0.0,0.0,0.0,1,Appartement,,4,0,169.26,21269.053527118045
2020,520000.0,3,49.02,0.0,0.0,0.0,0.0,1,Appartement,,2,0,49.02,10607.915136678906
2020,2462500.0,8,0.0,191.53,0.0,0.0,0.0,2,Appartement,,5,0,191.53,12856.993682451835
2020,670000.0,8,0.0,73.52,0.0,0.0,0.0,2,Appartement,,2,0,73.52,9113.166485310121
2020,1340000.0,8,95.02,0.0,0.0,0.0,0.0,1,Appartement,,3,0,95.02,14102.294253841297
2020,824300.0,3,46.62,0.0,0.0,0.0,0.0,1,Appartement,,3,0,46.62,17681.25268125268
2020,360000.0,8,0.0,22.61,0.0,0.0,0.0,3,Appartement,,2,0,22.61,15922.158337019018
2020,242429.0,3,51.04,0.0,0.0,0.0,0.0,2,Appartement,,2,0,51.04,4749.7844827586205
2020,404570.0,8,27.03,0.0,0.0,0.0,0.0,1,Appartement,,2,0,27.03,14967.443581206067
2020,331990.0,1,26.38,0.0,0.0,0.0,0.0,1,Appartement,,1,0,26.38,12584.912812736922
2020,570000.0,3,46.73,0.0,0.0,0.0,0.0,1,Appartement,,3,0,46.73,12197.731649903702
2020,90000.0,3,10.2,0.0,0.0,0.0,0.0,1,Appartement,,1,0,10.2,8823.529411764706
2020,593000.0,1,51.8,0.0,0.0,0.0,0.0,1,Appartement,,1,0,51.8,11447.876447876448
2020,279000.0,1,18.69,0.0,0.0,0.0,0.0,1,Appartement,,1,0,18.69,14927.76886035313
2020,110000.0,8,12.08,0.0,0.0,0.0,0.0,2,Appartement,,1,0,12.08,9105.960264900663
2020,233644.0,1,21.98,0.0,0.0,0.0,0.0,1,Appartement,,2,0,21.98,10629.845313921747
2020,1530000.0,3,94.38,94.38,94.38,0.0,0.0,3,Appartement,,1,0,283.14,5403.6872218690405
2020,1530000.0,3,0.0,0.0,94.38,0.0,0.0,3,Appartement,,2,0,94.38,16211.061665607122
2020,990000.0,3,79.33,79.33,79.33,0.0,0.0,3,Appartement,,3,0,237.99,4159.838648682718
2020,1800000.0,8,131.45,0.0,0.0,0.0,0.0,2,Appartement,,5,0,131.45,13693.419551160137
2020,236000.0,3,27.09,0.0,0.0,0.0,0.0,1,Appartement,,1,0,27.09,8711.701734957549
2020,1731000.0,8,172.32,0.0,0.0,0.0,0.0,2,Appartement,,4,0,172.32,10045.264623955432
2020,2690000.0,8,192.98,0.0,0.0,0.0,0.0,2,Appartement,,4,0,192.98,13939.268317960412
2020,730000.0,8,0.0,73.66,0.0,0.0,0.0,2,Appartement,,3,0,73.66,9910.399131143091
2020,585000.0,1,43.55,43.55,43.55,0.0,0.0,3,Appartement,,2,0,130.64999999999998,4477.611940298509
2020,477000.0,1,31.83,0.0,0.0,0.0,0.0,1,Appartement,,2,0,31.83,14985.862393967956
2020,3360000.0,8,234.72,0.0,0.0,0.0,0.0,2,Appartement,,7,0,234.72,14314.928425357873
