Date,Valeur fonciere,Arrondissement,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot,Nombre de lots,Type local,Surface reelle bati ,Nombre pieces principales,Surface terrain,Total Surface Carrez,Prix par m2
2025,43475.0,20,0.0,28.0,0.0,0.0,0.0,2,Appartement,,2,0,28.0,1552.6785714285713
2025,430500.0,18,49.48,12.0,49.48,0.0,0.0,4,Appartement,,3,0,110.96,3879.776496034607
2025,527700.0,18,42.63,0.0,0.0,0.0,0.0,2,Appartement,,1,0,42.63,12378.606615059816
2025,383000.0,10,50.1,0.0,0.0,0.0,0.0,2,Appartement,,2,0,50.1,7644.710578842315
2025,345000.0,18,32.27,0.0,0.0,0.0,0.0,1,Appartement,,3,0,32.27,10691.044313603965
2025,690000.0,8,64.61,0.0,0.0,0.0,0.0,2,Appartement,,3,0,64.61,10679.461383686736
2025,228000.0,17,22.05,0.0,0.0,0.0,0.0,1,Appartement,,2,0,22.05,10340.136054421768
2025,560000.0,18,0.0,51.21,0.0,0.0,0.0,2,Appartement,,3,0,51.21,10935.364186682289
2025,790000.0,4,72.1,0.0,0.0,0.0,0.0,1,Appartement,,2,0,72.1,10957.004160887656
2025,700000.0,18,0.0,79.22,0.0,0.0,0.0,2,Appartement,,4,0,79.22,8836.152486745772
2025,543800.0,4,45.0,0.0,0.0,0.0,0.0,1,Appartement,,1,0,45.0,12084.444444444445
2025,748930.0,8,58.26,0.0,0.0,0.0,0.0,2,Appartement,,3,0,58.26,12854.960521798834
2025,374800.0,10,37.47,0.0,0.0,0.0,0.0,1,Appartement,,2,0,37.47,10002.668801708034
2025,920000.0,9,0.0,74.12,0.0,0.0,0.0,2,Appartement,,3,0,74.12,12412.3043712898
2025,271000.0,19,36.32,0.0,0.0,0.0,0.0,1,Appartement,,1,0,36.32,7461.453744493392
2025,270000.0,2,24.0,0.0,0.0,0.0,0.0,1,Appartement,,1,0,24.0,11250.0
2025,562136.0,20,69.9,0.0,0.0,0.0,0.0,1,Appartement,,2,0,69.9,8042.002861230329
2025,220000.0,17,0.0,28.04,0.0,0.0,0.0,2,Appartement,,1,0,28.04,7845.934379457917
2025,197045.0,10,16.33,14.23,0.0,0.0,0.0,2,Appartement,,2,0,30.56,6447.807591623037
2025,435000.0,17,0.0,74.0,0.0,0.0,0.0,2,Appartement,,3,0,74.0,5878.378378378378
