id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495382,2025-01-02,000001,Vente,1400000,1,,RUE PAUL SEJOURNE,7178,75006,75106,Paris 6e Arrondissement,75,,,75106000AR0086,,,17,89.2,,,,,,,,,1,3,Dépendance,,0,,,,,,2.332268,48.841695
2025-495382,2025-01-02,000001,Vente,1400000,1,,RUE PAUL SEJOURNE,7178,75006,75106,Paris 6e Arrondissement,75,,,75106000AR0086,,,17,89.2,,,,,,,,,1,2,Appartement,79,4,,,,,,2.332268,48.841695
2025-495393,2025-01-07,000001,Vente,317619,75,,RUE DU CHERCHE-MIDI,1978,75006,75106,Paris 6e Arrondissement,75,,,75106000AY0020,,,24,,6,,,,,,,,2,2,Appartement,19,2,,,,,,2.323681,48.847683
2025-495473,2025-01-14,000001,Vente,715000,42,,RUE DU DRAGON,2925,75006,75106,Paris 6e Arrondissement,75,,,75106000BI0020,,,33,40.02,78,,,,,,,,2,2,Appartement,41,2,,,,,,2.329987,48.852613
2025-495473,2025-01-14,000001,Vente,715000,42,,RUE DU DRAGON,2925,75006,75106,Paris 6e Arrondissement,75,,,75106000BI0020,,,33,40.02,78,,,,,,,,2,3,Dépendance,,0,,,,,,2.329987,48.852613
2025-495485,2025-01-07,000001,Vente,1500000,10,,RUE HUYSMANS,4686,75006,75106,Paris 6e Arrondissement,75,,,75106000AV0084,,,2,,29,,31,,,,,,3,2,Appartement,29,2,,,,,,2.328975,48.845956
2025-495485,2025-01-07,000001,Vente,1500000,10,,RUE HUYSMANS,4686,75006,75106,Paris 6e Arrondissement,75,,,75106000AV0084,,,1,,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.328975,48.845956
2025-495485,2025-01-07,000001,Vente,1500000,10,,RUE HUYSMANS,4686,75006,75106,Paris 6e Arrondissement,75,,,75106000AV0084,,,1,,30,,,,,,,,2,2,Appartement,66,2,,,,,,2.328975,48.845956
2025-495485,2025-01-07,000001,Vente,1500000,10,,RUE HUYSMANS,4686,75006,75106,Paris 6e Arrondissement,75,,,75106000AV0084,,,2,,29,,31,,,,,,3,3,Dépendance,,0,,,,,,2.328975,48.845956
2025-495499,2025-01-08,000001,Vente,5850000,39,,BD DU MONTPARNASSE,6522,75006,75106,Paris 6e Arrondissement,75,,,75106000AX0010,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,124,0,S,sols,,,136,2.321418,48.844987
