id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495387,2025-01-03,000001,Vente,675000,4,,RUE ROBERT TURQUAN,8269,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0027,,,13,,29,66.79,,,,,,,2,3,Dépendance,,0,,,,,,2.266542,48.853032
2025-495387,2025-01-03,000001,Vente,675000,4,,RUE ROBERT TURQUAN,8269,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0027,,,13,,29,66.79,,,,,,,2,2,Appartement,65,3,,,,,,2.266542,48.853032
2025-495397,2025-01-06,000001,Vente,490000,25,,RUE DE L ANNONCIATION,0362,75016,75116,Paris 16e Arrondissement,75,,,75116000CJ0039,,,13,,14,23.2,31,28,,,,,3,4,Local industriel. commercial ou assimilé,48,0,,,,,,2.279013,48.85655
2025-495409,2025-01-03,000001,Vente,315000,115,,BD EXELMANS,3465,75016,75116,Paris 16e Arrondissement,75,,,75116000AZ0008,,,2,37.51,,,,,,,,,1,4,Local industriel. commercial ou assimilé,39,0,,,,,,2.258229,48.846069
2025-495413,2025-01-06,000001,Vente,352000,33,,RUE FELICIEN DAVID,3545,75016,75116,Paris 16e Arrondissement,75,,,75116000BY0031,,,140,,28,,,,,,,,2,2,Appartement,41,2,,,,,,2.273611,48.848211
2025-495413,2025-01-06,000001,Vente,352000,33,,RUE FELICIEN DAVID,3545,75016,75116,Paris 16e Arrondissement,75,,,75116000BY0031,,,140,,28,,,,,,,,2,3,Dépendance,,0,,,,,,2.273611,48.848211
2025-495417,2025-01-08,000001,Vente,39000,46,,RUE DE LA TOUR,9362,75016,75116,Paris 16e Arrondissement,75,,,75116000DP0051,,,519,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.282282,48.86015
2025-495441,2025-01-06,000001,Vente,884700,28,,BD FLANDRIN,3663,75016,75116,Paris 16e Arrondissement,75,,,75116000ED0021,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.273087,48.866555
2025-495441,2025-01-06,000001,Vente,884700,28,,BD FLANDRIN,3663,75016,75116,Paris 16e Arrondissement,75,,,75116000ED0021,,,24,,9,,,,,,,,2,2,Appartement,86,3,,,,,,2.273087,48.866555
2025-495445,2025-01-06,000001,Vente,593800,41,,RUE DE BOULAINVILLIERS,1154,75016,75116,Paris 16e Arrondissement,75,,,75116000CK0069,,,16,56.26,,,,,,,,,1,3,Dépendance,,0,,,,,,2.274943,48.855065
2025-495445,2025-01-06,000001,Vente,593800,41,,RUE DE BOULAINVILLIERS,1154,75016,75116,Paris 16e Arrondissement,75,,,75116000CK0069,,,16,56.26,,,,,,,,,1,2,Appartement,60,2,,,,,,2.274943,48.855065
2025-495453,2025-01-10,000001,Vente,12000,3,,SQ THIERS,9277,75016,75116,Paris 16e Arrondissement,75,,,75116000EB0032,,,34,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,83,0,,,,,,2.278921,48.866534
