id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-493149,2025-04-16,000001,Vente,2908038,3,,BD HENRI IV,4583,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0036,,,59,,,,,,,,,,1,2,Appartement,170,6,,,,,,2.35927,48.850507
2025-493149,2025-04-16,000001,Vente,2908038,3,,BD HENRI IV,4583,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0036,,,61,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.35927,48.850507
2025-493165,2025-03-31,000001,Vente,751000,69,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0157,,,13,,7,,8,,9,63.04,,,4,3,Dépendance,,0,,,,,,2.363403,48.854209
2025-493165,2025-03-31,000001,Vente,751000,69,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0157,,,13,,7,,8,,9,63.04,,,4,2,Appartement,70,3,,,,,,2.363403,48.854209
2025-493196,2025-04-22,000001,Vente,320000,14,,RUE DES ECOUFFES,3106,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0072,,,14,28.25,,,,,,,,,1,2,Appartement,25,3,,,,,,2.358788,48.856752
2025-493206,2025-04-28,000001,Vente,1640000,28,,BD DE SEBASTOPOL,8894,75004,75104,Paris 4e Arrondissement,75,,,75104000AB0006,,,35,,36,,4,155.5,,,,,3,4,Local industriel. commercial ou assimilé,148,0,,,,,,2.349966,48.860881
2025-493208,2025-04-23,000001,Vente,1320000,80,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0029,,,26,84.5,51,,,,,,,,2,2,Appartement,85,4,,,,,,2.350761,48.858079
2025-493208,2025-04-23,000001,Vente,1320000,80,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0029,,,26,84.5,51,,,,,,,,2,3,Dépendance,,0,,,,,,2.350761,48.858079
2025-493209,2025-04-24,000001,Vente,138095,11,,RUE VIEILLE DU TEMPLE,9783,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0132,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.356447,48.856562
2025-493209,2025-04-24,000001,Vente,138095,11,,RUE VIEILLE DU TEMPLE,9783,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0132,,,60,,61,,67,,,,,,3,2,Appartement,45,2,,,,,,2.356447,48.856562
2025-493209,2025-04-24,000001,Vente,138095,11,,RUE VIEILLE DU TEMPLE,9783,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0132,,,44,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,13,0,,,,,,2.356447,48.856562
2025-493212,2025-05-06,000001,Vente,646000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1020,,,,,,,,,,1,2,Appartement,35,1,,,,,,2.353699,48.858088
2025-493212,2025-05-06,000001,Vente,646000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1041,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-493226,2025-04-24,000001,Vente,1118200,3,,RUE MALHER,5958,75004,75104,Paris 4e Arrondissement,75,,,75104000AM0025,,,10,73.3,,,,,,,,,1,2,Appartement,76,4,,,,,,2.361008,48.855637
2025-493291,2025-05-05,000001,Vente,147525,12,,RUE DES TOURNELLES,9382,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0128,,,73,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.367789,48.854323
2025-493302,2025-04-16,000001,Vente,30000,6,,RUE DES GUILLEMITES,4398,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0068,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.357623,48.858041
2025-493327,2025-05-07,000001,Vente,700500,15,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0078,,,43,,58,,,,,,,,2,3,Dépendance,,0,,,,,,2.363283,48.852333
2025-493327,2025-05-07,000001,Vente,700500,15,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0078,,,43,,58,,,,,,,,2,2,Appartement,68,3,,,,,,2.363283,48.852333
2025-493389,2025-04-29,000001,Vente,290000,64,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0015,,,16,27.16,,,,,,,,,1,2,Appartement,27,1,,,,,,2.363521,48.854541
2025-493418,2025-05-12,000001,Vente,312600,15,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0017,,,3,21.46,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363635,48.853261
2025-493418,2025-05-12,000001,Vente,312600,15,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0017,,,3,21.46,,,,,,,,,1,2,Appartement,22,1,,,,,,2.363635,48.853261
