id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-487671,2025-01-03,000002,Vente,199000,199,,RUE SAINT-DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0050,,,58,,59,,60,,,,,,3,3,Dépendance,,0,,,,,,2.350629,48.866376
2025-487671,2025-01-03,000002,Vente,199000,199,,RUE SAINT-DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0050,,,68,,,,,,,,,,1,2,Appartement,16,1,,,,,,2.350629,48.866376
2025-487671,2025-01-03,000002,Vente,199000,199,,RUE SAINT-DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0050,,,58,,59,,60,,,,,,3,2,Appartement,117,5,,,,,,2.350629,48.866376
2025-487671,2025-01-03,000002,Vente,199000,199,,RUE SAINT-DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0050,,,58,,59,,60,,,,,,3,3,Dépendance,,0,,,,,,2.350629,48.866376
2025-487671,2025-01-03,000002,Vente,199000,199,,RUE SAINT-DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0050,,,58,,59,,60,,,,,,3,3,Dépendance,,0,,,,,,2.350629,48.866376
2025-487686,2025-01-07,000001,Vente,270000,21,,RUE DES PETITS CARREAUX,7346,75002,75102,Paris 2e Arrondissement,75,,,75102000AJ0080,,,26,24,,,,,,,,,1,2,Appartement,22,1,,,,,,2.346876,48.867175
2025-487811,2025-01-08,000001,Vente,441000,38,,RUE GRENETA,4318,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0120,,,14,,45,37.39,,,,,,,2,4,Local industriel. commercial ou assimilé,49,0,,,,,,2.349035,48.865453
2025-487879,2025-01-16,000001,Vente,516600,3,,RUE D AMBOISE,0260,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0037,,,29,,41,43.65,,,,,,,2,2,Appartement,43,2,,,,,,2.339043,48.870881
2025-487879,2025-01-16,000001,Vente,516600,3,,RUE D AMBOISE,0260,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0037,,,29,,41,43.65,,,,,,,2,3,Dépendance,,0,,,,,,2.339043,48.870881
2025-487894,2025-01-09,000001,Vente,300000,169,,RUE MONTMARTRE,6513,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0094,,,23,,29,,,,,,,,2,2,Appartement,26,2,,,,,,2.342781,48.871288
2025-488014,2025-01-09,000001,Vente,1204500,11,,RUE MONSIGNY,6446,75002,75102,Paris 2e Arrondissement,75,,,75102000AC0054,,,15,97.59,17,,4,,,,,,3,2,Appartement,90,3,,,,,,2.335366,48.86901
2025-488014,2025-01-09,000001,Vente,1204500,11,,RUE MONSIGNY,6446,75002,75102,Paris 2e Arrondissement,75,,,75102000AC0054,,,15,97.59,17,,4,,,,,,3,3,Dépendance,,0,,,,,,2.335366,48.86901
2025-488014,2025-01-09,000001,Vente,1204500,11,,RUE MONSIGNY,6446,75002,75102,Paris 2e Arrondissement,75,,,75102000AC0054,,,15,97.59,17,,4,,,,,,3,3,Dépendance,,0,,,,,,2.335366,48.86901
2025-488014,2025-01-09,000001,Vente,1204500,11,,RUE MONSIGNY,6446,75002,75102,Paris 2e Arrondissement,75,,,75102000AC0054,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.335366,48.86901
2025-488019,2025-01-13,000001,Vente,175000,6,,RUE RAMEAU,8011,75002,75102,Paris 2e Arrondissement,75,,,75102000AF0100,,,51,15.4,,,,,,,,,1,2,Appartement,15,1,,,,,,2.336552,48.868093
2025-488080,2025-01-23,000001,Vente,1195460,146,,RUE MONTMARTRE,6513,75002,75102,Paris 2e Arrondissement,75,,,75102000AI0063,,,7,85.39,,,,,,,,,1,4,Local industriel. commercial ou assimilé,450,0,,,,,,2.343497,48.869328
2025-488090,2025-01-10,000001,Vente,779600,55,,RUE MONTMARTRE,6513,75002,75102,Paris 2e Arrondissement,75,,,75102000AK0086,,,32,58.59,,,,,,,,,1,2,Appartement,58,3,,,,,,2.344134,48.865842
2025-488119,2025-01-23,000001,Vente,535000,146,,RUE MONTMARTRE,6513,75002,75102,Paris 2e Arrondissement,75,,,75102000AI0063,,,1,53.6,,,,,,,,,1,4,Local industriel. commercial ou assimilé,450,0,,,,,,2.343497,48.869328
2025-488121,2025-01-17,000001,Vente,209000,18,,RUE VOLNEY,9900,75002,75102,Paris 2e Arrondissement,75,,,75102000AB0059,,,475,15.01,,,,,,,,,1,2,Appartement,15,1,,,,,,2.3306,48.869712
2025-488165,2025-01-09,000001,Vente,269700,13,,RUE MARIE STUART,6084,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0141,,,16,21.21,38,,,,,,,,2,3,Dépendance,,0,,,,,,2.347515,48.864918
2025-488165,2025-01-09,000001,Vente,269700,13,,RUE MARIE STUART,6084,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0141,,,16,21.21,38,,,,,,,,2,2,Appartement,22,2,,,,,,2.347515,48.864918
2025-488185,2025-01-13,000001,Vente,239475,20,,RUE SAINT-SAUVEUR,8752,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0019,,,41,17.14,,,,,,,,,1,2,Appartement,20,1,,,,,,2.348337,48.866416
2025-488256,2025-01-30,000001,Vente,610000,44,,RUE TIQUETONNE,9318,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0142,,,25,47.68,26,,,,,,,,2,3,Dépendance,,0,,,,,,2.347365,48.864927
2025-488256,2025-01-30,000001,Vente,610000,44,,RUE TIQUETONNE,9318,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0142,,,25,47.68,26,,,,,,,,2,2,Appartement,48,2,,,,,,2.347365,48.864927
2025-488350,2025-01-31,000001,Vente,425000,78,,RUE D ABOUKIR,0040,75002,75102,Paris 2e Arrondissement,75,,,75102000AI0139,,,25,36.68,,,,,,,,,1,2,Appartement,37,2,,,,,,2.347094,48.867715
2025-488384,2025-01-06,000001,Vente,263000,26,,RUE VIVIENNE,9893,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0162,,,111,25.4,,,,,,,,,1,2,Appartement,25,2,,,,,,2.340989,48.870133
2025-488432,2025-01-14,000001,Vente,428000,38,,RUE GRENETA,4318,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0120,,,41,36.94,,,,,,,,,1,4,Local industriel. commercial ou assimilé,39,0,,,,,,2.349035,48.865453
2025-488432,2025-01-14,000001,Vente,428000,38,,RUE GRENETA,4318,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0120,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349035,48.865453
