id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-487685,2025-01-07,000001,Vente,271000,123,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000AZ0044,,,33,36.32,,,,,,,,,1,2,Appartement,21,1,,,,,,2.382264,48.886195
2025-487685,2025-01-07,000001,Vente,271000,123,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000AZ0044,,,33,36.32,,,,,,,,,1,3,Dépendance,,0,,,,,,2.382264,48.886195
2025-487699,2025-01-10,000001,Vente,347000,47,,RUE DE MEAUX,6236,75019,75119,Paris 19e Arrondissement,75,,,75119000AT0055,,,105,,35,38.41,,,,,,,2,3,Dépendance,,0,,,,,,2.372568,48.881078
2025-487699,2025-01-10,000001,Vente,347000,47,,RUE DE MEAUX,6236,75019,75119,Paris 19e Arrondissement,75,,,75119000AT0055,,,105,,35,38.41,,,,,,,2,2,Appartement,38,2,,,,,,2.372568,48.881078
2025-487709,2025-01-02,000001,Vente,120000,112,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000CT0001,,,56,13,62,,,,,,,,2,4,Local industriel. commercial ou assimilé,10,0,,,,,,2.382697,48.885767
2025-487718,2025-01-09,000001,Vente,235000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,3315,44.15,3411,,,,,,,,2,3,Dépendance,,0,,,,,,2.370725,48.893658
2025-487718,2025-01-09,000001,Vente,235000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,3315,44.15,3411,,,,,,,,2,2,Appartement,40,2,,,,,,2.370725,48.893658
2025-487721,2025-01-10,000001,Vente,518480,70,B,RUE DE ROMAINVILLE,8333,75019,75119,Paris 19e Arrondissement,75,,,75119000DT0069,,,81,60.58,83,,,,,,,,2,2,Appartement,61,3,,,,,,2.40324,48.877076
2025-487752,2025-01-06,000001,Vente,320000,5,,RUE DE TANGER,9171,75019,75119,Paris 19e Arrondissement,75,,,75119000AA0055,,,110,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.366819,48.884675
2025-487752,2025-01-06,000001,Vente,320000,5,,RUE DE TANGER,9171,75019,75119,Paris 19e Arrondissement,75,,,75119000AA0055,,,110,,,,,,,,,,1,2,Appartement,49,3,,,,,,2.366819,48.884675
