id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495384,2025-01-07,000001,Vente,545000,6,,RUE EMILE DUBOIS,3225,75014,75114,Paris 14e Arrondissement,75,,,75114000BP0024,,,212,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337931,48.831828
2025-495384,2025-01-07,000001,Vente,545000,6,,RUE EMILE DUBOIS,3225,75014,75114,Paris 14e Arrondissement,75,,,75114000BP0024,,,136,,552,57.35,,,,,,,2,3,Dépendance,,0,,,,,,2.337931,48.831828
2025-495384,2025-01-07,000001,Vente,545000,6,,RUE EMILE DUBOIS,3225,75014,75114,Paris 14e Arrondissement,75,,,75114000BP0024,,,136,,552,57.35,,,,,,,2,2,Appartement,61,2,,,,,,2.337931,48.831828
2025-495385,2025-01-07,000001,Vente,430000,187,,AV DU MAINE,5922,75014,75114,Paris 14e Arrondissement,75,,,75114000CK0086,,,24,,25,,9,,,,,,3,2,Appartement,46,3,,,,,,2.326275,48.830644
2025-495385,2025-01-07,000001,Vente,430000,187,,AV DU MAINE,5922,75014,75114,Paris 14e Arrondissement,75,,,75114000CK0086,,,24,,25,,9,,,,,,3,3,Dépendance,,0,,,,,,2.326275,48.830644
2025-495398,2025-01-08,000001,Vente,322000,6,,RUE LOUIS MORARD,5798,75014,75114,Paris 14e Arrondissement,75,,,75114000CS0084,,,12,41.59,,,,,,,,,1,3,Dépendance,,0,,,,,,2.32139,48.828597
2025-495398,2025-01-08,000001,Vente,322000,6,,RUE LOUIS MORARD,5798,75014,75114,Paris 14e Arrondissement,75,,,75114000CS0084,,,12,41.59,,,,,,,,,1,2,Appartement,48,3,,,,,,2.32139,48.828597
2025-495406,2025-01-08,000001,Vente,406000,41,,RUE DAREAU,2572,75014,75114,Paris 14e Arrondissement,75,,,75114000BO0017,,,39,,44,43.06,,,,,,,2,2,Appartement,49,3,,,,,,2.3354,48.83027
2025-495406,2025-01-08,000001,Vente,406000,41,,RUE DAREAU,2572,75014,75114,Paris 14e Arrondissement,75,,,75114000BO0017,,,39,,44,43.06,,,,,,,2,3,Dépendance,,0,,,,,,2.3354,48.83027
2025-495422,2025-01-08,000001,Vente,212560,76,B,RUE DES PLANTES,7518,75014,75114,Paris 14e Arrondissement,75,,,75114000CX0044,,,301,24.5,68,,,,,,,,2,3,Dépendance,,0,,,,,,2.318376,48.825436
2025-495422,2025-01-08,000001,Vente,212560,76,B,RUE DES PLANTES,7518,75014,75114,Paris 14e Arrondissement,75,,,75114000CX0044,,,301,24.5,68,,,,,,,,2,2,Appartement,24,1,,,,,,2.318376,48.825436
2025-495423,2025-01-09,000001,Vente,180000,38,,RUE REMY DUMONCEL,8126,75014,75114,Paris 14e Arrondissement,75,,,75114000BR0078,,,20,14.46,,,,,,,,,1,2,Appartement,26,2,,,,,,2.330516,48.829827
2025-495423,2025-01-09,000001,Vente,180000,38,,RUE REMY DUMONCEL,8126,75014,75114,Paris 14e Arrondissement,75,,,75114000BR0078,,,20,14.46,,,,,,,,,1,2,Appartement,15,1,,,,,,2.330516,48.829827
2025-495425,2025-01-06,000001,Vente,665000,48,,AV DU GENERAL LECLERC,4063,75014,75114,Paris 14e Arrondissement,75,,,75114000CK0059,,,6,74.9,,,,,,,,,1,2,Appartement,80,3,,,,,,2.328757,48.830661
2025-495425,2025-01-06,000001,Vente,665000,48,,AV DU GENERAL LECLERC,4063,75014,75114,Paris 14e Arrondissement,75,,,75114000CK0059,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328757,48.830661
2025-495433,2025-01-10,000001,Vente,490000,191,,RUE D ALESIA,0143,75014,75114,Paris 14e Arrondissement,75,,,75114000CV0026,,,223,60.6,224,,,,,,,,2,2,Appartement,67,3,,,,,,2.315939,48.830913
2025-495433,2025-01-10,000001,Vente,490000,191,,RUE D ALESIA,0143,75014,75114,Paris 14e Arrondissement,75,,,75114000CV0026,,,223,60.6,224,,,,,,,,2,3,Dépendance,,0,,,,,,2.315939,48.830913
2025-495433,2025-01-10,000001,Vente,490000,191,,RUE D ALESIA,0143,75014,75114,Paris 14e Arrondissement,75,,,75114000CV0026,,,668,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.315939,48.830913
