id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-487687,2025-01-03,000001,Vente,562136,10,,RUE DES MARAICHERS,5985,75020,75120,Paris 20e Arrondissement,75,,,75120000EC0003,,,4,69.9,,,,,,,,,1,2,Appartement,63,2,,,,,,2.408078,48.84847
2025-487687,2025-01-03,000001,Vente,562136,10,,RUE DES MARAICHERS,5985,75020,75120,Paris 20e Arrondissement,75,,,75120000EC0003,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.408078,48.84847
2025-487693,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,62,,94,24.19,,,,,,,2,3,Dépendance,,0,,,,,,2.394268,48.870809
2025-487693,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.394268,48.870809
2025-487693,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,62,,94,24.19,,,,,,,2,2,Appartement,29,1,,,,,,2.394268,48.870809
2025-487694,2025-01-08,000001,Vente,17000,13,,RUE CHARLES FRIEDEL,1836,75020,75120,Paris 20e Arrondissement,75,,,75120000AH0034,,,400,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.395521,48.873221
2025-487702,2025-01-03,000001,Vente,25000,29,,RUE DES GATINES,3983,75020,75120,Paris 20e Arrondissement,75,,,75120000CE0018,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.398849,48.866414
2025-487708,2025-01-13,000001,Vente,303000,28,,RUE DE BELLEVILLE,0833,75020,75120,Paris 20e Arrondissement,75,,,75120000AA0047,,,15,34.05,,,,,,,,,1,2,Appartement,32,2,,,,,,2.379728,48.872446
2025-487712,2025-01-06,000001,Vente,126000,77,,RUE DE BAGNOLET,0626,75020,75120,Paris 20e Arrondissement,75,,,75120000CO0009,,,100,,110,,120,,,,,,3,4,Local industriel. commercial ou assimilé,16,0,,,,,,2.400136,48.858239
2025-487714,2025-01-09,000001,Vente,303000,13,,RUE DE L ERMITAGE,3324,75020,75120,Paris 20e Arrondissement,75,,,75120000AP0064,,,7,34.71,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391364,48.869875
2025-487714,2025-01-09,000001,Vente,303000,13,,RUE DE L ERMITAGE,3324,75020,75120,Paris 20e Arrondissement,75,,,75120000AP0064,,,7,34.71,,,,,,,,,1,2,Appartement,36,2,,,,,,2.391364,48.869875
2025-487717,2025-01-08,000001,Vente,12600,3,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0103,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.39967,48.871084
2025-487725,2025-01-10,000001,Vente,952381,26,B,RUE DE LA CHINE,2010,75020,75120,Paris 20e Arrondissement,75,,,75120000BT0073,,1,,,,,,,,,,,0,,,,,,,,,,2.397988,48.868407
2025-487745,2025-01-10,000001,Vente,700000,45,,RUE D AVRON,0610,75020,75120,Paris 20e Arrondissement,75,,,75120000DP0007,,,115,85.05,116,,,,,,,,2,2,Appartement,86,4,,,,,,2.401726,48.852296
2025-487745,2025-01-10,000001,Vente,700000,45,,RUE D AVRON,0610,75020,75120,Paris 20e Arrondissement,75,,,75120000DP0007,,,115,85.05,116,,,,,,,,2,3,Dépendance,,0,,,,,,2.401726,48.852296
2025-487749,2025-01-06,000001,Vente,859380,64,,BD DE MENILMONTANT,6267,75020,75120,Paris 20e Arrondissement,75,,,75120000BZ0126,,,12,79.78,30,,,,,,,,2,2,Appartement,75,4,,,,,,2.386972,48.864
2025-487754,2025-01-10,000001,Vente,633400,94,,RUE DE BUZENVAL,1398,75020,75120,Paris 20e Arrondissement,75,,,75120000DR0037,,,185,,305,74.18,,,,,,,2,2,Appartement,61,3,,,,,,2.399834,48.854587
2025-487754,2025-01-10,000001,Vente,633400,94,,RUE DE BUZENVAL,1398,75020,75120,Paris 20e Arrondissement,75,,,75120000DR0037,,,185,,305,74.18,,,,,,,2,3,Dépendance,,0,,,,,,2.399834,48.854587
2025-487764,2025-01-09,000001,Vente,400000,55,,RUE PLANCHAT,7512,75020,75120,Paris 20e Arrondissement,75,,,75120000CV0020,,,52,,6,53.39,,,,,,,2,4,Local industriel. commercial ou assimilé,60,0,,,,,,2.396319,48.855572
2025-487775,2025-01-14,000001,Vente,165125,37,,AV GAMBETTA,3933,75020,75120,Paris 20e Arrondissement,75,,,75120000CA0071,,,24,18.44,25,,,,,,,,2,2,Appartement,18,1,,,,,,2.392829,48.86449
2025-487787,2025-01-03,000001,Vente,239000,119,,BD DAVOUT,2608,75020,75120,Paris 20e Arrondissement,75,,,75120000CZ0016,,,65,32.18,93,,,,,,,,2,3,Dépendance,,0,,,,,,2.409625,48.856852
2025-487787,2025-01-03,000001,Vente,239000,119,,BD DAVOUT,2608,75020,75120,Paris 20e Arrondissement,75,,,75120000CZ0016,,,65,32.18,93,,,,,,,,2,2,Appartement,33,2,,,,,,2.409625,48.856852
2025-487789,2025-01-10,000001,Vente,25000,164,,RUE DES PYRENEES,7904,75020,75120,Paris 20e Arrondissement,75,,,75120000CN0028,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.400921,48.860783
2025-487795,2025-01-07,000001,Vente,348000,28,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000BS0034,,,253,39.24,37,,,,,,,,2,3,Dépendance,,0,,,,,,2.403079,48.871333
2025-487795,2025-01-07,000001,Vente,348000,28,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000BS0034,,,253,39.24,37,,,,,,,,2,2,Appartement,40,2,,,,,,2.403079,48.871333
2025-487796,2025-01-15,000001,Vente,255000,5,B,RUE DU CAPITAINE FERBER,1500,75020,75120,Paris 20e Arrondissement,75,,,75120000BL0056,,,7,36.39,,,,,,,,,1,3,Dépendance,,0,,,,,,2.405026,48.86542
2025-487796,2025-01-15,000001,Vente,255000,5,B,RUE DU CAPITAINE FERBER,1500,75020,75120,Paris 20e Arrondissement,75,,,75120000BL0056,,,7,36.39,,,,,,,,,1,2,Appartement,38,2,,,,,,2.405026,48.86542
2025-487800,2025-01-09,000001,Vente,470000,8,,RUE BISSON,0987,75020,75120,Paris 20e Arrondissement,75,,,75120000AM0244,,,326,58.36,,,,,,,,,1,2,Appartement,59,2,,,,,,2.38001,48.870056
2025-487800,2025-01-09,000001,Vente,470000,80,,BD DE BELLEVILLE,0832,75020,75120,Paris 20e Arrondissement,75,,,75120000AM0244,,,551,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.38001,48.870056
2025-487814,2025-01-03,000001,Vente,330000,138,,RUE PELLEPORT,7228,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0109,,,313,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.399322,48.871467
2025-487814,2025-01-03,000001,Vente,330000,140,,RUE PELLEPORT,7228,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0109,,,18,50.19,209,,,,,,,,2,3,Dépendance,,0,,,,,,2.399322,48.871467
2025-487814,2025-01-03,000001,Vente,330000,140,,RUE PELLEPORT,7228,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0109,,,18,50.19,209,,,,,,,,2,2,Appartement,51,2,,,,,,2.399322,48.871467
2025-487817,2025-01-10,000001,Vente,19250,13,,RUE CHARLES FRIEDEL,1836,75020,75120,Paris 20e Arrondissement,75,,,75120000AH0034,,,260,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.395521,48.873221
2025-487818,2025-01-15,000001,Vente,190000,36,,RUE ETIENNE MAREY,3394,75020,75120,Paris 20e Arrondissement,75,,,75120000BN0124,,,69,24.49,,,,,,,,,1,2,Appartement,24,2,,,,,,2.405847,48.868551
2025-487823,2025-01-06,000001,Vente,593000,39,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0024,,,875,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.403264,48.872381
2025-487823,2025-01-06,000001,Vente,593000,39,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0024,,,7,87,75,,,,,,,,2,2,Appartement,88,4,,,,,,2.403264,48.872381
2025-487823,2025-01-06,000001,Vente,593000,39,,RUE SAINT FARGEAU,8603,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0024,,,7,87,75,,,,,,,,2,3,Dépendance,,0,,,,,,2.403264,48.872381
2025-487827,2025-01-16,000001,Vente,902000,1,,PL GAMBETTA,3935,75020,75120,Paris 20e Arrondissement,75,,,75120000CK0030,,,15,84.2,48,,,,,,,,2,3,Dépendance,,0,,,,,,2.398583,48.864388
2025-487827,2025-01-16,000001,Vente,902000,1,,PL GAMBETTA,3935,75020,75120,Paris 20e Arrondissement,75,,,75120000CK0030,,,15,84.2,48,,,,,,,,2,2,Appartement,84,4,,,,,,2.398583,48.864388
2025-487833,2025-01-09,000001,Vente,443000,18,B,BD DE CHARONNE,1887,75020,75120,Paris 20e Arrondissement,75,,,75120000DV0003,,,5,46.8,,,,,,,,,1,3,Dépendance,,0,,,,,,2.399528,48.849398
2025-487833,2025-01-09,000001,Vente,443000,18,B,BD DE CHARONNE,1887,75020,75120,Paris 20e Arrondissement,75,,,75120000DV0003,,,5,46.8,,,,,,,,,1,2,Appartement,48,3,,,,,,2.399528,48.849398
2025-487845,2025-01-07,000001,Vente,170000,12,,RUE DES ENVIERGES,3293,75020,75120,Paris 20e Arrondissement,75,,,75120000AC0089,,,5,22.85,,,,,,,,,1,2,Appartement,24,1,,,,,,2.38645,48.871625
2025-487865,2025-01-17,000001,Vente,17000,100,,RUE ORFILA,6924,75020,75120,Paris 20e Arrondissement,75,,,75120000CD0094,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.399905,48.867532
2025-487867,2025-01-08,000001,Vente,77800,32,,RUE DU BORREGO,1112,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0084,,,138,43.48,231,,,,,,,,2,2,Appartement,43,2,,,,,,2.401146,48.872822
2025-487867,2025-01-08,000001,Vente,77800,32,,RUE DU BORREGO,1112,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0084,,,556,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.401146,48.872822
2025-487867,2025-01-08,000001,Vente,77800,32,,RUE DU BORREGO,1112,75020,75120,Paris 20e Arrondissement,75,,,75120000AW0084,,,138,43.48,231,,,,,,,,2,3,Dépendance,,0,,,,,,2.401146,48.872822
