id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495381,2025-01-02,000001,Vente,335000,55,,RUE LACORDAIRE,5230,75015,75115,Paris 15e Arrondissement,75,,,75115000ES0011,,,1022,42.18,1070,,,,,,,,2,3,Dépendance,,0,,,,,,2.281865,48.84076
2025-495381,2025-01-02,000001,Vente,335000,55,,RUE LACORDAIRE,5230,75015,75115,Paris 15e Arrondissement,75,,,75115000ES0011,,,1022,42.18,1070,,,,,,,,2,2,Appartement,42,2,,,,,,2.281865,48.84076
2025-495386,2025-01-06,000001,Vente,125000,61,,RUE GUTENBERG,4430,75015,75115,Paris 15e Arrondissement,75,,,75115000ER0042,,,10,14.4,,,,,,,,,1,2,Appartement,18,1,,,,,,2.280157,48.842597
2025-495401,2025-01-06,000001,Vente,647619,245,,RUE DE VAUGIRARD,9624,75015,75115,Paris 15e Arrondissement,75,,,75115000CH0041,,,6,69.05,,,,,,,,,1,2,Appartement,60,3,,,,,,2.305287,48.840523
2025-495401,2025-01-06,000001,Vente,647619,245,,RUE DE VAUGIRARD,9624,75015,75115,Paris 15e Arrondissement,75,,,75115000CH0041,,,6,69.05,,,,,,,,,1,3,Dépendance,,0,,,,,,2.305287,48.840523
2025-495404,2025-01-07,000001,Vente,460000,332,,RUE LECOURBE,5456,75015,75115,Paris 15e Arrondissement,75,,,75115000EU0055,,,180,,36,59.28,,,,,,,2,3,Dépendance,,0,,,,,,2.283915,48.83747
2025-495404,2025-01-07,000001,Vente,460000,332,,RUE LECOURBE,5456,75015,75115,Paris 15e Arrondissement,75,,,75115000EU0055,,,180,,36,59.28,,,,,,,2,2,Appartement,61,2,,,,,,2.283915,48.83747
2025-495408,2025-01-06,000001,Vente,434250,53,,BD DE GRENELLE,4310,75015,75115,Paris 15e Arrondissement,75,,,75115000DL0038,,,35,42.07,6,,,,,,,,2,2,Appartement,41,2,,,,,,2.292359,48.851396
2025-495408,2025-01-06,000001,Vente,434250,53,,BD DE GRENELLE,4310,75015,75115,Paris 15e Arrondissement,75,,,75115000DL0038,,,35,42.07,6,,,,,,,,2,3,Dépendance,,0,,,,,,2.292359,48.851396
2025-495418,2025-01-07,000001,Vente,1038000,59,,RUE CAMBRONNE,1454,75015,75115,Paris 15e Arrondissement,75,,,75115000BZ0001,,,199,,36,107.5,,,,,,,2,2,Appartement,132,6,,,,,,2.302999,48.844205
2025-495418,2025-01-07,000001,Vente,1038000,59,,RUE CAMBRONNE,1454,75015,75115,Paris 15e Arrondissement,75,,,75115000BZ0001,,,199,,36,107.5,,,,,,,2,3,Dépendance,,0,,,,,,2.302999,48.844205
2025-495418,2025-01-07,000001,Vente,1038000,59,,RUE CAMBRONNE,1454,75015,75115,Paris 15e Arrondissement,75,,,75115000BZ0001,,,199,,36,107.5,,,,,,,2,3,Dépendance,,0,,,,,,2.302999,48.844205
2025-495418,2025-01-07,000001,Vente,1038000,59,,RUE CAMBRONNE,1454,75015,75115,Paris 15e Arrondissement,75,,,75115000BZ0001,,,276,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.302999,48.844205
2025-495420,2025-01-08,000001,Vente,23359,204,,RUE DE VAUGIRARD,9624,75015,75115,Paris 15e Arrondissement,75,,,75115000CG0055,,,1139,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.306704,48.841617
2025-495421,2025-01-09,000001,Vente,400000,146,,BD DE GRENELLE,4310,75015,75115,Paris 15e Arrondissement,75,,,75115000DF0154,,,43,45.26,,,,,,,,,1,2,Appartement,46,2,,,,,,2.298814,48.848109
