id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-487668,2025-01-03,000001,Vente,430500,88,,RUE MARCADET,5995,75018,75118,Paris 18e Arrondissement,75,,,75118000BJ0092,,,226,49.48,227,12,228,49.48,237,,,,4,3,Dépendance,,0,,,,,,2.346344,48.890689
2025-487668,2025-01-03,000001,Vente,430500,88,,RUE MARCADET,5995,75018,75118,Paris 18e Arrondissement,75,,,75118000BJ0092,,,226,49.48,227,12,228,49.48,237,,,,4,2,Appartement,48,3,,,,,,2.346344,48.890689
2025-487669,2025-01-03,000001,Vente,527700,161,,RUE MARCADET,5995,75018,75118,Paris 18e Arrondissement,75,,,75118000AV0032,,,166,42.63,46,,,,,,,,2,3,Dépendance,,0,,,,,,2.337299,48.891073
2025-487669,2025-01-03,000001,Vente,527700,161,,RUE MARCADET,5995,75018,75118,Paris 18e Arrondissement,75,,,75118000AV0032,,,166,42.63,46,,,,,,,,2,2,Appartement,40,1,,,,,,2.337299,48.891073
2025-487669,2025-01-03,000001,Vente,527700,161,,RUE MARCADET,5995,75018,75118,Paris 18e Arrondissement,75,,,75118000AV0032,,,166,42.63,46,,,,,,,,2,3,Dépendance,,0,,,,,,2.337299,48.891073
2025-487672,2025-01-07,000001,Vente,345000,18,,RUE GERMAIN PILON,4176,75018,75118,Paris 18e Arrondissement,75,,,75118000AR0078,,,159,32.27,,,,,,,,,1,2,Appartement,32,3,,,,,,2.337048,48.883921
2025-487676,2025-01-06,000001,Vente,560000,6,,RUE MAURICE UTRILLO,6214,75018,75118,Paris 18e Arrondissement,75,,,75118000BN0039,,,23,,4,51.21,,,,,,,2,3,Dépendance,,0,,,,,,2.344351,48.886365
2025-487676,2025-01-06,000001,Vente,560000,6,,RUE MAURICE UTRILLO,6214,75018,75118,Paris 18e Arrondissement,75,,,75118000BN0039,,,23,,4,51.21,,,,,,,2,2,Appartement,59,3,,,,,,2.344351,48.886365
2025-487678,2025-01-08,000001,Vente,700000,16,,RUE CARPEAUX,1567,75018,75118,Paris 18e Arrondissement,75,,,75118000AK0007,,,15,,4,79.22,,,,,,,2,4,Local industriel. commercial ou assimilé,11,0,,,,,,2.333029,48.891486
2025-487678,2025-01-08,000001,Vente,700000,16,,RUE CARPEAUX,1567,75018,75118,Paris 18e Arrondissement,75,,,75118000AK0007,,,15,,4,79.22,,,,,,,2,2,Appartement,61,4,,,,,,2.333029,48.891486
2025-487700,2025-01-08,000001,Vente,477000,16,,PL DE LA CHAPELLE,1768,75018,75118,Paris 18e Arrondissement,75,,,75118000DF0068,,,259,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.359936,48.885199
2025-487700,2025-01-08,000001,Vente,477000,16,,PL DE LA CHAPELLE,1768,75018,75118,Paris 18e Arrondissement,75,,,75118000DF0068,,,103,,19,92.62,,,,,,,2,2,Appartement,91,4,,,,,,2.359936,48.885199
2025-487700,2025-01-08,000001,Vente,477000,16,,PL DE LA CHAPELLE,1768,75018,75118,Paris 18e Arrondissement,75,,,75118000DF0068,,,103,,19,92.62,,,,,,,2,3,Dépendance,,0,,,,,,2.359936,48.885199
2025-487707,2025-01-07,000001,Vente,316000,8,B,RUE DU BAIGNEUR,0628,75018,75118,Paris 18e Arrondissement,75,,,75118000BK0086,,,6,36.74,,,,,,,,,1,2,Appartement,35,2,,,,,,2.344454,48.890335
2025-487713,2025-01-08,000001,Vente,18000,3,,RUE DU CANADA,1478,75018,75118,Paris 18e Arrondissement,75,,,75118000DA0088,,,23,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.362327,48.890375
2025-487726,2025-01-09,000001,Vente,354000,46,,RUE LEPIC,5595,75018,75118,Paris 18e Arrondissement,75,,,75118000AS0026,,,19,34.16,,,,,,,,,1,3,Dépendance,,0,,,,,,2.334722,48.886454
2025-487726,2025-01-09,000001,Vente,354000,46,,RUE LEPIC,5595,75018,75118,Paris 18e Arrondissement,75,,,75118000AS0026,,,19,34.16,,,,,,,,,1,2,Appartement,35,2,,,,,,2.334722,48.886454
2025-487737,2025-01-09,000001,Vente,612000,63,,RUE CAULAINCOURT,1614,75018,75118,Paris 18e Arrondissement,75,,,75118000AK0037,,,6,56.74,,,,,,,,,1,2,Appartement,52,2,,,,,,2.335515,48.889803
2025-487740,2025-01-08,000001,Vente,146000,38,,RUE LEON,5524,75018,75118,Paris 18e Arrondissement,75,,,75118000CF0202,,,11,20.85,,,,,,,,,1,2,Appartement,22,1,,,,,,2.353813,48.889171
2025-487756,2025-01-14,000001,Vente,348820,5,,RUE AUDRAN,0531,75018,75118,Paris 18e Arrondissement,75,,,75118000AS0180,,,20,27.57,,,,,,,,,1,2,Appartement,27,1,,,,,,2.335654,48.885261
2025-487761,2025-01-13,000001,Vente,280000,13,,RUE MULLER,6637,75018,75118,Paris 18e Arrondissement,75,,,75118000BS0013,,,30,27.51,31,,,,,,,,2,2,Appartement,35,2,,,,,,2.346092,48.886342
2025-487767,2025-01-02,000001,Vente,16000,30,,RUE BOUCRY,1139,75018,75118,Paris 18e Arrondissement,75,,,75118000CW0054,,,145,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.360969,48.894841
