id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495388,2025-01-02,000001,Vente,171162,5,B,CITE POPINCOURT,7624,75011,75111,Paris 11e Arrondissement,75,,,75111000BA0013,,,8,15.17,,,,,,,,,1,2,Appartement,10,1,,,,,,2.374846,48.86249
2025-495389,2025-01-02,000001,Vente,380000,10,,RUE PETION,7312,75011,75111,Paris 11e Arrondissement,75,,,75111000BO0033,,,14,41.22,,,,,,,,,1,2,Appartement,42,2,,,,,,2.381864,48.858731
2025-495390,2025-01-03,000001,Vente,766700,32,,BD DU TEMPLE,9190,75011,75111,Paris 11e Arrondissement,75,,,75111000AN0018,,,32,71.05,,,,,,,,,1,2,Appartement,70,3,,,,,,2.366026,48.865197
2025-495400,2025-01-02,000001,Vente,184000,145,,RUE DE CHARONNE,1888,75011,75111,Paris 11e Arrondissement,75,,,75111000BS0062,,,15,,31,,,,,,,,2,2,Appartement,21,1,,,,,,2.388058,48.855392
2025-495403,2025-01-07,000001,Vente,205000,7,,RUE DU MORVAN,6570,75011,75111,Paris 11e Arrondissement,75,,,75111000BM0051,,,119,24.04,,,,,,,,,1,2,Appartement,26,1,,,,,,2.3813,48.860108
2025-495403,2025-01-07,000001,Vente,205000,7,,RUE DU MORVAN,6570,75011,75111,Paris 11e Arrondissement,75,,,75111000BM0051,,,119,24.04,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3813,48.860108
2025-495407,2025-01-07,000001,Vente,17000,151,,RUE OBERKAMPF,6858,75011,75111,Paris 11e Arrondissement,75,,,75111000AI0042,,,7112,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.381355,48.867322
2025-495414,2025-01-07,000001,Vente,843800,138,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000AN0029,,,61,,64,,8,,,,,,3,3,Dépendance,,0,,,,,,2.366675,48.865105
2025-495414,2025-01-07,000001,Vente,843800,138,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000AN0029,,,61,,64,,8,,,,,,3,2,Appartement,98,5,,,,,,2.366675,48.865105
2025-495424,2025-01-09,000001,Vente,825700,28,,RUE BASFROI,0701,75011,75111,Paris 11e Arrondissement,75,,,75111000BX0119,,,349,80.81,531,,,,,,,,2,3,Dépendance,,0,,,,,,2.379595,48.85543
2025-495424,2025-01-09,000001,Vente,825700,28,,RUE BASFROI,0701,75011,75111,Paris 11e Arrondissement,75,,,75111000BX0119,,,349,80.81,531,,,,,,,,2,2,Appartement,80,3,,,,,,2.379595,48.85543
2025-495435,2025-01-10,000001,Vente,68000,6,,PAS COURTOIS,2404,75011,75111,Paris 11e Arrondissement,75,,,75111000BS0028,,,10,,,,,,,,,,1,2,Appartement,9,1,,,,,,2.386622,48.856752
2025-495438,2025-01-07,000001,Vente,710000,90,,AV DE LA REPUBLIQUE,8158,75011,75111,Paris 11e Arrondissement,75,,,75111000AS0013,,,11,75.84,20,,39,,,,,,3,2,Appartement,76,2,,,,,,2.3805,48.863874
2025-495438,2025-01-07,000001,Vente,710000,90,,AV DE LA REPUBLIQUE,8158,75011,75111,Paris 11e Arrondissement,75,,,75111000AS0013,,,11,75.84,20,,39,,,,,,3,3,Dépendance,,0,,,,,,2.3805,48.863874
2025-495438,2025-01-07,000001,Vente,710000,90,,AV DE LA REPUBLIQUE,8158,75011,75111,Paris 11e Arrondissement,75,,,75111000AS0013,,,11,75.84,20,,39,,,,,,3,3,Dépendance,,0,,,,,,2.3805,48.863874
2025-495442,2025-01-07,000001,Vente,343000,8,,RUE POPINCOURT,7626,75011,75111,Paris 11e Arrondissement,75,,,75111000BK0114,,,17,30.14,277,,,,,,,,2,3,Dépendance,,0,,,,,,2.377987,48.857345
2025-495442,2025-01-07,000001,Vente,343000,8,,RUE POPINCOURT,7626,75011,75111,Paris 11e Arrondissement,75,,,75111000BK0114,,,17,30.14,277,,,,,,,,2,2,Appartement,34,1,,,,,,2.377987,48.857345
2025-495444,2025-01-09,000001,Vente,198500,154,,RUE DU CHEMIN VERT,1966,75011,75111,Paris 11e Arrondissement,75,,,75111000BN0029,,,40,20.41,59,,,,,,,,2,2,Appartement,20,1,,,,,,2.387101,48.862578
2025-495444,2025-01-09,000001,Vente,198500,154,,RUE DU CHEMIN VERT,1966,75011,75111,Paris 11e Arrondissement,75,,,75111000BN0029,,,40,20.41,59,,,,,,,,2,3,Dépendance,,0,,,,,,2.387101,48.862578
2025-495448,2025-01-07,000001,Vente,245900,25,,RUE DE LA FOLIE MERICOURT,3700,75011,75111,Paris 11e Arrondissement,75,,,75111000AR0012,,,33,23.29,,,,,,,,,1,2,Appartement,23,1,,,,,,2.372986,48.862749
2025-495449,2025-01-07,000001,Vente,377300,69,,RUE DU CHEMIN VERT,1966,75011,75111,Paris 11e Arrondissement,75,,,75111000AZ0074,,,40,33.98,,,,,,,,,1,3,Dépendance,,0,,,,,,2.378035,48.860275
2025-495449,2025-01-07,000001,Vente,377300,69,,RUE DU CHEMIN VERT,1966,75011,75111,Paris 11e Arrondissement,75,,,75111000AZ0074,,,40,33.98,,,,,,,,,1,2,Appartement,34,2,,,,,,2.378035,48.860275
2025-495454,2025-01-09,000001,Vente,25000,36,,BD DU TEMPLE,9190,75011,75111,Paris 11e Arrondissement,75,,,75111000AN0016,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.36594,48.865411
2025-495455,2025-01-02,000001,Vente,223000,3,,RUE DE LA FONTAINE AU ROI,3717,75011,75111,Paris 11e Arrondissement,75,,,75111000AC0002,,,5,21.24,,,,,,,,,1,2,Appartement,22,1,,,,,,2.368344,48.868772
2025-495465,2025-01-14,000001,Vente,508000,16,,RUE DU FAUBOURG DU TEMPLE,3508,75011,75111,Paris 11e Arrondissement,75,,,75111000AA0008,,,36,63.26,,,,,,,,,1,2,Appartement,56,3,,,,,,2.366002,48.868051
2025-495466,2025-01-09,000001,Vente,1000000,116,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000BK0022,,,104,,116,109.34,,,,,,,2,2,Appartement,90,5,,,,,,2.377638,48.858898
2025-495466,2025-01-09,000001,Vente,1000000,116,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000BK0022,,,104,,116,109.34,,,,,,,2,3,Dépendance,,0,,,,,,2.377638,48.858898
2025-495469,2025-01-08,000001,Vente,304000,281,,RUE DU FBG ST ANTOINE,3514,75011,75111,Paris 11e Arrondissement,75,,,75111000CS0048,,,121,31.56,67,,,,,,,,2,3,Dépendance,,0,,,,,,2.389742,48.849772
2025-495469,2025-01-08,000001,Vente,304000,281,,RUE DU FBG ST ANTOINE,3514,75011,75111,Paris 11e Arrondissement,75,,,75111000CS0048,,,121,31.56,67,,,,,,,,2,2,Appartement,31,1,,,,,,2.389742,48.849772
2025-495472,2025-01-09,000001,Vente,587400,56,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000BE0042,,,11,51.13,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.368372,48.859413
2025-495472,2025-01-09,000001,Vente,587400,56,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000BE0042,,,11,51.13,30,,,,,,,,2,2,Appartement,48,3,,,,,,2.368372,48.859413
