id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-495410,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,2,Appartement,140,6,,,,,,2.30865,48.855962
2025-495410,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,26,5.39,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-495410,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,32,6.1,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-495410,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-495410,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-495457,2025-01-10,000001,Vente,1028571,71,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,220,,222,,286,,,,,,3,3,Dépendance,,0,,,,,,2.300372,48.851782
2025-495457,2025-01-10,000001,Vente,1028571,69,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,304,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.300372,48.851782
2025-495457,2025-01-10,000001,Vente,1028571,71,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,220,,222,,286,,,,,,3,2,Appartement,57,2,,,,,,2.300372,48.851782
2025-495462,2025-01-09,000001,Vente,620000,26,B,RUE PIERRE LEROUX,7451,75007,75107,Paris 7e Arrondissement,75,,,75107000BG0027,,,125,44.15,91,,,,,,,,2,2,Appartement,43,2,,,,,,2.319178,48.848545
2025-495462,2025-01-09,000001,Vente,620000,26,B,RUE PIERRE LEROUX,7451,75007,75107,Paris 7e Arrondissement,75,,,75107000BG0027,,,125,44.15,91,,,,,,,,2,3,Dépendance,,0,,,,,,2.319178,48.848545
2025-495490,2025-01-08,000001,Vente,387000,184,,RUE DE GRENELLE,4314,75007,75107,Paris 7e Arrondissement,75,,,75107000BZ0010,,,7,,,,,,,,,,1,2,Appartement,32,2,,,,,,2.30615,48.857903
2025-495492,2025-01-02,000001,Vente,155000,51,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0003,,,44,11.43,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308933,48.849825
2025-495505,2025-01-03,000001,Vente,2598300,62,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0067,,,4,114.26,,,,,,,,,1,2,Appartement,116,6,,,,,,2.325239,48.855847
2025-495505,2025-01-03,000001,Vente,2598300,62,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0067,,,4,114.26,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325239,48.855847
